2,277
5,351
2,373
3,451
5,485
2,491
3,519
5,533
3,547
5,577
5,599
3,619
3,627
2,647
3,659
3,677
1,681
2,681
3,707
5,735
5,785
5,857
3,877
3,897
2,915
2,989
5,1049
2,1053
5,1127
1,1129
1,1173
1,1179
1,1185
1,1217
1,1287
5,1315
3,1341
3,1341
1,1347
1,1377
3,1441
5,1463
1,1487
2,1547
3,1625
1,1627
5,1639
1,1649
1,1663
5,1747
1,1755
1,1847
1,1969
1,2019
1,2071
1,2075
5,2135
3,2159
3,2201
2,2235
1,2301
2,2341
2,2363
2,2485
1,2559
5,2587
1,2653
2,2767
1,2821
1,3223
3,3607
2,3655
1,4263
2,4405
3,4737
3,6907
5,7343
1,7879
2,15497
1,16273
5,16747
1,16779
2,17163
5,18397
3,18475
1,18985
1,20359
1,22801
2,24203
3,26019
1,26775
2,32537
5,34243
5,34817
3,35495
5,37753
2,38827
5,38923
2,39843
****101
2,277
2,371
2,421
3,453
3,475
2,489
5,545
5,607
3,635
2,673
3,699
3,727
5,733
1,735
5,737
1,807
1,857
1,873
1,899
3,901
2,951
2,965
2,1009
1,1029
1,1031
1,1037
3,1037
1,1057
5,1061
1,1127
1,1141
1,1231
3,1239
1,1259
1,1259
1,1379
1,1385
5,1415
1,1439
1,1509
1,1545
1,1553
2,1581
5,1709
2,1851
2,2057
5,2147
5,2273
3,2389
1,2393
1,2655
5,2789
1,3031
1,3109
3,3659
1,3741
2,4247
1,4547
5,4865
3,5025
3,5329
3,5641
1,5689
5,5715
2,5961
2,6109
3,6113
1,6117
1,6545
2,6709
1,6739
1,7737
2,8087
5,8983
5,10027
3,10447
5,11255
5,12749
1,13237
2,13353
3,14979
5,15651
5,18009
5,19141
2,23723
3,23755
2,24215
2,24493
3,26317
5,26815
5,28375
2,28991
3,29687
3,30851
3,31591
3,34785
2,36115
5,39969
****102
2,377
5,401
5,479
2,499
3,573
5,593
2,601
3,605
1,703
5,777
5,795
3,807
1,853
3,863
3,871
5,889
2,953
1,965
1,981
1,999
2,1011
5,1037
5,1055
2,1055
1,1079
1,1087
3,1199
1,1211
1,1267
1,1269
1,1275
1,1315
1,1421
1,1441
1,1469
1,1515
3,1683
5,1733
1,1749
1,1865
5,1901
1,1923
1,1969
5,2075
3,2077
1,2151
1,2283
1,2359
1,2441
1,2469
1,2611
2,2811
1,2831
5,2939
1,3099
5,3187
1,3199
2,3251
1,3555
3,3697
2,3813
3,4087
5,4671
1,4709
2,4851
3,5065
2,5065
5,5099
5,5361
5,5447
2,5933
1,6009
5,6605
3,6833
5,6847
2,9665
3,10143
2,11931
5,11955
3,12499
5,13291
5,13807
2,14741
3,14785
2,15117
2,15817
2,17319
3,17465
3,17955
3,18499
2,19715
2,20699
5,21323
3,21867
3,22399
3,22911
5,24659
2,25581
3,26255
2,27725
3,27881
5,29757
2,31193
2,31919
3,32923
5,32977
2,33017
3,34659
2,36299
5,38991
5,39027
****103
2,371
2,373
2,377
5,401
5,563
3,567
3,573
2,595
2,603
5,631
1,701
1,757
3,773
1,781
5,797
3,805
3,815
1,853
1,1005
1,1025
1,1041
3,1043
5,1053
1,1061
1,1063
2,1097
1,1115
5,1149
1,1195
1,1245
3,1363
5,1365
3,1377
1,1471
1,1495
1,1503
1,1527
1,1537
1,1551
2,1551
2,1593
1,1639
2,1665
1,1679
1,1859
1,1879
3,1915
1,1943
1,1981
5,2013
1,2019
1,2053
1,2325
1,2449
3,2467
1,2505
1,2599
5,2739
5,2843
2,2931
1,2975
3,2981
3,3087
3,3353
1,3395
5,4053
5,4119
5,4339
2,4339
2,4505
2,4981
3,5221
5,5889
5,7549
3,10033
2,10131
5,10519
5,11493
5,13325
5,14753
2,15899
2,16617
5,17135
5,17545
2,18431
5,18705
3,19657
2,20765
5,20891
5,21675
3,21987
2,22737
3,23903
3,26485
5,27505
2,30345
2,30621
3,32389
3,33001
3,35059
2,35187
5,35219
5,35509
2,36677
2,37873
****104
2,279
1,345
2,377
2,499
3,505
2,507
3,573
3,575
3,627
5,687
5,713
5,741
1,755
2,777
3,789
1,793
5,843
2,869
5,885
1,891
5,901
3,913
3,937
3,941
1,955
1,987
3,1031
1,1037
5,1063
2,1111
1,1131
1,1157
1,1267
1,1307
1,1313
3,1323
3,1351
1,1369
2,1383
1,1429
5,1471
3,1475
2,1505
1,1509
1,1607
1,1737
1,1801
2,1847
1,1877
1,1883
5,1951
5,1983
1,1989
2,1993
3,2021
3,2021
1,2043
1,2137
1,2173
3,2217
5,2235
1,2301
1,2305
1,2373
1,2531
1,2533
1,2717
1,2795
3,2977
2,3191
2,3529
5,3613
2,3669
3,3689
5,4185
1,4229
5,4253
3,4347
5,4729
2,4959
3,5671
5,6191
5,6457
2,6653
3,6809
2,7259
3,7365
2,8057
2,9505
5,9581
2,9849
2,10621
5,11007
5,12569
3,14197
2,14979
5,15425
5,16589
2,17143
3,18553
5,19829
5,19953
3,20575
5,21065
5,25059
3,26999
2,27029
2,30459
2,30849
5,34619
****105
2,377
3,387
5,593
2,605
3,615
2,621
2,671
2,675
5,731
2,771
5,811
3,819
2,847
1,853
1,855
5,865
5,893
2,911
5,917
5,967
2,999
1,1087
1,1105
1,1107
3,1151
1,1155
1,1169
3,1183
2,1199
2,1201
3,1203
2,1231
3,1255
2,1259
3,1289
2,1315
2,1315
1,1353
1,1423
3,1549
1,1577
2,1645
1,1659
1,1661
1,1661
3,1691
1,1729
1,1733
3,1783
1,1879
1,1911
2,1923
5,1949
1,1953
1,2059
2,2105
3,2127
5,2193
1,2235
5,2243
5,2319
2,2349
5,2367
1,2453
2,2479
2,2493
5,2515
1,2563
3,2597
3,2701
1,2729
1,2779
1,2835
3,2851
2,3089
5,3145
1,3237
1,3787
1,3971
5,4025
